                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.51618,                0.48793,                0.93098,                0.80672,                0.88115,                0.86102,                0.77658,                0.46907,                0.59643,                0.90866,               0.000911,               0.000911,               0.000911
                    113,                0.51553,                0.47963,                0.92972,                0.81437,                0.86768,                0.85948,                0.77438,                0.47518,                0.55311,                0.91198,              0.0009011,              0.0009011,              0.0009011
                    114,                0.51073,                0.47111,                0.91844,                0.83578,                0.85253,                0.85734,                0.77604,                0.47807,                0.59411,                 0.9127,              0.0008912,              0.0008912,              0.0008912
                    115,                0.50069,                0.48988,                0.91302,                0.84202,                0.82424,                0.85375,                0.77156,                0.47828,                0.60915,                0.91612,              0.0008813,              0.0008813,              0.0008813
                    116,                0.51508,                0.50306,                0.91856,                0.83377,                0.81571,                0.84774,                0.75858,                0.49131,                0.64667,                0.92529,              0.0008714,              0.0008714,              0.0008714
                    117,                0.51206,                0.48705,                0.91916,                0.82885,                0.85859,                0.86105,                0.77325,                0.47223,                0.55472,                0.90875,              0.0008615,              0.0008615,              0.0008615
                    118,                0.50432,                0.47981,                0.91989,                0.80605,                0.87778,                0.86045,                0.77671,                0.46934,                0.55426,                 0.9114,              0.0008516,              0.0008516,              0.0008516
                    119,                0.50442,                0.47827,                0.92043,                0.83703,                0.85455,                 0.8675,                0.78168,                 0.4715,                0.57877,                0.91091,              0.0008417,              0.0008417,              0.0008417
                    120,                0.50914,                0.47103,                0.92378,                0.83338,                0.84747,                0.86254,                0.77875,                0.47493,                0.56357,                0.91491,              0.0008318,              0.0008318,              0.0008318
                    121,                0.51266,                0.46857,                0.92211,                0.82379,                0.85556,                0.86426,                0.78004,                0.47576,                0.56806,                0.91683,              0.0008219,              0.0008219,              0.0008219
                    122,                0.50471,                0.47898,                0.92093,                0.81695,                0.87457,                0.86067,                0.77958,                0.46672,                0.55327,                0.90724,               0.000812,               0.000812,               0.000812
                    123,                 0.5156,                0.48046,                0.92776,                 0.8126,                0.83838,                0.84965,                0.76591,                0.46729,                0.62895,                0.91247,              0.0008021,              0.0008021,              0.0008021
                    124,                0.49211,                0.46764,                0.91698,                0.79617,                 0.8483,                0.85392,                0.76736,                0.48904,                0.60427,                0.91635,              0.0007922,              0.0007922,              0.0007922
                    125,                0.49502,                0.46554,                0.92156,                0.81946,                0.84444,                0.86458,                0.77927,                0.47079,                0.60351,                 0.9121,              0.0007823,              0.0007823,              0.0007823
                    126,                0.51251,                0.48605,                0.91842,                0.80704,                0.87452,                0.85906,                0.77651,                0.46578,                0.54726,                0.90403,              0.0007724,              0.0007724,              0.0007724
                    127,                0.51103,                0.45795,                0.92049,                0.82481,                0.83636,                 0.8545,                0.77195,                0.47209,                0.61461,                0.90894,              0.0007625,              0.0007625,              0.0007625
                    128,                0.49914,                0.44526,                 0.9115,                0.84124,                0.82963,                0.85927,                 0.7799,                 0.4685,                 0.5604,                0.90637,              0.0007526,              0.0007526,              0.0007526
                    129,                 0.4745,                0.43519,                0.90689,                 0.8415,                0.82525,                0.85788,                 0.7795,                0.46357,                0.63673,                0.90716,              0.0007427,              0.0007427,              0.0007427
                    130,                 0.5078,                0.46105,                0.92788,                0.82272,                0.83912,                0.85866,                0.77752,                0.46082,                0.57692,                0.90454,              0.0007328,              0.0007328,              0.0007328
                    131,                0.50711,                0.47388,                0.91417,                 0.8175,                0.85859,                0.85397,                0.77346,                0.46852,                0.60233,                0.90979,              0.0007229,              0.0007229,              0.0007229
                    132,                 0.5016,                  0.461,                0.92004,                0.80332,                0.86637,                0.85439,                 0.7712,                0.47332,                0.57654,                0.90943,               0.000713,               0.000713,               0.000713
                    133,                0.50094,                0.45594,                 0.9269,                0.81873,                0.85657,                0.85898,                0.77916,                0.46598,                0.56878,                0.90653,              0.0007031,              0.0007031,              0.0007031
                    134,                0.49887,                0.46129,                0.92429,                0.82836,                0.82626,                 0.8467,                0.76837,                 0.4724,                0.69559,                0.91349,              0.0006932,              0.0006932,              0.0006932
                    135,                0.48868,                0.45692,                0.91284,                0.80933,                0.86162,                 0.8582,                0.77103,                0.48188,                0.56623,                 0.9165,              0.0006833,              0.0006833,              0.0006833
                    136,                0.47821,                0.45172,                0.91558,                0.84357,                0.82798,                0.85826,                0.77457,                0.47699,                0.57641,                0.91517,              0.0006734,              0.0006734,              0.0006734
                    137,                0.48945,                0.44013,                0.90511,                 0.8295,                0.84343,                0.84935,                0.76868,                0.47287,                0.60841,                0.91237,              0.0006635,              0.0006635,              0.0006635
                    138,                 0.4962,                0.46082,                0.91324,                0.80016,                0.85741,                0.84529,                0.75997,                0.47841,                 0.5642,                0.91447,              0.0006536,              0.0006536,              0.0006536
                    139,                0.49793,                0.44119,                0.91285,                0.85297,                0.82624,                0.85402,                0.77027,                0.46881,                0.58536,                0.90796,              0.0006437,              0.0006437,              0.0006437
                    140,                0.49678,                0.44201,                0.91835,                0.81358,                0.84747,                0.85019,                0.76625,                0.47302,                0.61816,                0.91099,              0.0006338,              0.0006338,              0.0006338
                    141,                0.49477,                0.45602,                0.91886,                0.82542,                0.85051,                0.85498,                0.77205,                0.47566,                0.58245,                0.91355,              0.0006239,              0.0006239,              0.0006239
